@relation BOOKKEEPER_Dataset-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute Version numeric
@attribute Size numeric
@attribute LOC_Touched numeric
@attribute NR numeric
@attribute LOC_Added numeric
@attribute Max_LOC_Added numeric
@attribute Avg_LOC_Added numeric
@attribute Churn numeric
@attribute Max_Churn numeric
@attribute Avg_Churn numeric
@attribute ChgSetSize numeric
@attribute Max_ChgSetSize numeric
@attribute Avg_ChgSetSize numeric
@attribute Bugginess {No,Yes}

@data
1,137,12,3,134,34,45,146,73,49,488,212,163,No
1,368,91,6,472,83,79,1578,274,263,792,256,132,No
1,764,303,34,2617,1027,77,24842,1864,731,1143,197,34,No
1,150,36,4,103,24,26,201,69,50,690,230,173,No
1,180,14,3,27,8,9,32,12,11,316,212,105,No
1,473,99,20,660,113,33,2194,264,110,1065,172,53,No
1,255,42,8,259,49,32,996,217,125,757,200,95,No
1,46,77,14,800,496,57,8194,684,585,855,212,61,No
1,62,43,9,231,58,26,1152,173,128,804,212,89,Yes
1,163,9,4,22,6,6,32,12,8,717,238,179,No
1,139,21,5,230,89,46,317,163,63,734,242,147,No
1,282,21,4,42,6,11,100,33,25,599,273,150,Yes
1,582,145,15,1155,199,77,3979,820,265,1058,199,71,No
1,800,83,10,414,75,41,907,287,91,755,191,76,No
1,216,19,7,34,4,5,106,20,15,755,283,108,No
1,55,6,2,12,6,6,10,5,5,446,234,223,No
1,184,29,7,32,3,5,7,2,1,873,198,125,No
1,65,7,3,24,11,8,48,16,16,496,242,165,No
1,150,32,9,89,22,10,167,23,19,821,212,91,No
1,81,11,3,12,2,4,2,1,1,471,212,157,No
1,84,14,2,78,32,39,58,57,29,363,212,182,No
1,905,178,20,1518,178,76,5694,1122,285,1093,198,55,No
1,312,40,11,166,43,15,737,126,67,848,212,77,No
1,171,43,9,101,18,11,179,39,20,799,199,89,No
1,153,36,11,136,59,12,601,95,55,947,199,86,No
1,84,13,4,40,18,10,108,27,27,502,232,126,No
1,169,21,5,49,13,10,71,31,14,799,247,160,Yes
1,189,23,6,40,15,7,86,19,14,694,221,116,Yes
1,127,47,10,87,8,9,211,32,21,893,199,89,No
1,79,1,1,2,2,2,1,1,1,304,304,304,No
1,90,7,2,36,13,18,46,23,23,455,243,228,No
1,85,1,1,1,1,1,0,0,0,212,212,212,No
1,113,6,3,55,38,18,59,52,20,326,246,109,No
1,276,15,6,69,27,12,286,60,48,338,158,56,No
1,549,32,9,202,106,22,1172,172,130,410,103,46,No
1,283,12,5,41,21,8,135,34,27,339,110,68,No
1,175,10,2,12,3,6,-39,0,-19,215,143,108,No
1,507,19,4,30,5,8,-35,0,-9,229,123,57,No
1,209,1,1,5,5,5,5,5,5,218,218,218,No
1,147,4,1,5,2,5,3,3,3,72,72,72,No
1,98,1,1,1,1,1,0,0,0,218,218,218,No
1,227,27,9,76,22,8,427,53,47,919,204,102,No
1,172,15,6,107,65,18,259,97,43,811,212,135,Yes
1,507,110,19,463,70,24,2928,358,154,1108,197,58,No
1,132,11,2,82,66,41,150,75,75,405,212,203,No
1,529,28,11,49,7,4,96,19,9,844,212,77,No
1,694,120,18,337,39,19,2238,189,124,1035,204,58,No
1,174,10,2,11,2,6,2,1,1,363,212,182,No
1,148,10,2,11,2,6,2,1,1,363,212,182,No
1,92,51,6,73,17,12,-2688,1,-448,706,260,118,No
1,256,74,9,342,35,38,519,140,58,974,212,108,No
1,54,5,2,5,1,3,0,0,0,405,212,203,No
1,38,4,1,5,2,5,0,0,0,212,212,212,No
1,98,4,1,4,1,4,0,0,0,212,212,212,No
1,39,9,2,11,2,6,2,1,1,363,212,182,No
1,69,6,2,4,1,2,-50,0,-25,405,212,203,No
1,261,22,3,51,3,17,16,15,5,289,127,96,No
1,183,23,8,121,60,15,555,103,69,341,91,43,No
1,71,6,3,13,4,4,21,10,7,425,203,142,No
1,734,43,10,205,134,21,1300,160,130,538,101,54,No
1,136,8,5,20,7,4,37,12,7,414,147,83,No
1,380,15,6,55,31,9,235,43,39,448,127,75,Yes
1,43,1,1,0,0,0,-4,0,-4,161,161,161,No
1,134,4,1,4,2,4,0,0,0,161,161,161,No
1,261,4,1,4,1,4,0,0,0,161,161,161,No
1,113,2,2,2,1,1,0,0,0,393,305,197,No
1,258,19,3,22,2,7,5,2,2,381,212,127,No
1,49,85,18,337,30,19,-974,17,-54,859,197,48,No
1,243,50,7,58,5,8,53,11,8,761,212,109,Yes
1,358,35,7,110,76,16,302,55,43,705,197,101,No
1,259,21,5,94,37,19,150,65,30,463,133,93,No
1,1167,122,11,617,151,56,1997,465,182,898,220,82,No
1,92,13,4,14,2,4,3,2,1,573,197,143,No
1,100,9,3,34,25,11,77,26,26,608,245,203,Yes
1,185,20,7,33,7,5,64,15,9,661,200,94,No
