@relation STORM_Dataset-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute Version numeric
@attribute Size numeric
@attribute LOC_Touched numeric
@attribute NR numeric
@attribute LOC_Added numeric
@attribute Max_LOC_Added numeric
@attribute Avg_LOC_Added numeric
@attribute Churn numeric
@attribute Max_Churn numeric
@attribute Avg_Churn numeric
@attribute ChgSetSize numeric
@attribute Max_ChgSetSize numeric
@attribute Avg_ChgSetSize numeric
@attribute Bugginess {No,Yes}

@data
1,980,477,28,729,71,26,2195,247,78,1056,561,38,No
1,155,12,5,79,32,16,277,73,55,776,563,155,No
1,35,1,1,17,17,17,17,17,17,565,565,565,No
1,47,1,1,17,17,17,17,17,17,565,565,565,No
1,27,1,1,17,17,17,17,17,17,565,565,565,No
1,169,3,3,19,17,6,17,17,6,803,565,268,No
1,119,1,1,17,17,17,17,17,17,565,565,565,No
1,153,1,1,17,17,17,17,17,17,565,565,565,No
1,51,1,1,17,17,17,17,17,17,565,565,565,No
1,108,1,1,17,17,17,17,17,17,565,565,565,No
1,46,1,1,17,17,17,17,17,17,565,565,565,No
1,53,1,1,17,17,17,17,17,17,565,565,565,No
1,436,1,1,17,17,17,17,17,17,565,565,565,No
1,382,1,1,17,17,17,17,17,17,565,565,565,No
1,30,1,1,17,17,17,17,17,17,565,565,565,No
1,22,1,1,17,17,17,17,17,17,565,565,565,No
1,91,2,2,22,17,11,17,17,9,778,565,389,No
1,169,3,2,19,17,10,17,17,9,778,565,389,No
1,75,1,1,17,17,17,17,17,17,565,565,565,No
1,93,1,1,17,17,17,17,17,17,565,565,565,No
1,49,1,1,17,17,17,17,17,17,565,565,565,No
1,383,1,1,17,17,17,17,17,17,565,565,565,No
1,59,1,1,17,17,17,17,17,17,565,565,565,No
1,95,2,2,18,17,9,17,17,9,778,565,389,No
1,345,18,2,40,17,20,17,17,9,778,565,389,No
1,444,22,2,47,17,24,17,17,9,778,565,389,No
1,1128,54,2,108,31,54,17,17,9,778,565,389,No
1,615,30,2,60,17,30,17,17,9,778,565,389,No
1,724,32,2,67,17,34,17,17,9,778,565,389,No
1,402,21,2,50,17,25,17,17,9,778,565,389,No
1,442,22,2,47,17,24,17,17,9,778,565,389,No
1,981,65,2,107,17,54,17,17,9,778,565,389,No
1,2032,144,2,209,17,105,17,17,9,778,565,389,No
1,437,22,2,47,17,24,17,17,9,778,565,389,No
1,335,19,2,45,17,23,17,17,9,778,565,389,No
1,696,34,2,70,17,35,17,17,9,778,565,389,No
1,825,37,2,74,17,37,17,17,9,778,565,389,No
1,679,28,2,73,18,37,17,17,9,778,565,389,No
1,480,24,2,50,17,25,17,17,9,778,565,389,No
1,549,24,2,62,17,31,17,17,9,778,565,389,No
1,337,17,2,39,17,20,17,17,9,778,565,389,No
1,13508,866,2,1201,17,601,17,17,9,778,565,389,No
1,242,13,2,33,17,17,17,17,9,778,565,389,No
1,566,25,2,55,17,28,17,17,9,778,565,389,No
1,434,20,2,45,17,23,17,17,9,778,565,389,No
1,773,38,2,78,19,39,17,17,9,778,565,389,No
1,677,32,2,66,17,33,17,17,9,778,565,389,No
