Project,Version,Filename,Size,LOC_Touched,NR,LOC_Added,Max_LOC_Added,Avg_LOC_Added,Churn,Max_Churn,Avg_Churn,ChgSetSize,Max_ChgSetSize,Avg_ChgSetSize,Bugginess
STORM,1,storm-core/src/jvm/backtype/storm/Config.java,980,477,28,729,71,26,2195,247,78,1056,561,38,No
STORM,1,storm-core/src/jvm/backtype/storm/ConfigValidation.java,155,12,5,79,32,16,277,73,55,776,563,155,No
STORM,1,storm-core/src/jvm/backtype/storm/Constants.java,35,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/ILocalCluster.java,47,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/ILocalDRPC.java,27,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/StormSubmitter.java,169,3,3,19,17,6,17,17,6,803,565,268,No
STORM,1,storm-core/src/jvm/backtype/storm/clojure/ClojureBolt.java,119,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/clojure/ClojureSpout.java,153,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/clojure/RichShellBolt.java,51,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/clojure/RichShellSpout.java,51,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/coordination/BatchBoltExecutor.java,108,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/coordination/BatchOutputCollector.java,46,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/coordination/BatchOutputCollectorImpl.java,53,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/coordination/BatchSubtopologyBuilder.java,436,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/coordination/CoordinatedBolt.java,382,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/coordination/IBatchBolt.java,30,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/daemon/Shutdownable.java,22,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/drpc/DRPCInvocationsClient.java,91,2,2,22,17,11,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/drpc/DRPCSpout.java,169,3,2,19,17,10,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/drpc/JoinResult.java,75,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/drpc/KeyedFairBolt.java,93,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/drpc/LinearDRPCInputDeclarer.java,49,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/drpc/LinearDRPCTopologyBuilder.java,383,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/drpc/PrepareRequest.java,59,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/drpc/ReturnResults.java,95,2,2,18,17,9,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/AlreadyAliveException.java,345,18,2,40,17,20,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/Bolt.java,444,22,2,47,17,24,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/BoltStats.java,1128,54,2,108,31,54,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/ClusterSummary.java,615,30,2,60,17,30,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/ComponentCommon.java,724,32,2,67,17,34,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/ComponentObject.java,402,21,2,50,17,25,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/DRPCExecutionException.java,345,18,2,40,17,20,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/DRPCRequest.java,442,22,2,47,17,24,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/DistributedRPC.java,981,65,2,107,17,54,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/DistributedRPCInvocations.java,2032,144,2,209,17,105,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/ErrorInfo.java,442,22,2,47,17,24,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/ExecutorInfo.java,437,22,2,47,17,24,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/ExecutorSpecificStats.java,335,19,2,45,17,23,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/ExecutorStats.java,696,34,2,70,17,35,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/ExecutorSummary.java,825,37,2,74,17,37,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/GlobalStreamId.java,442,22,2,47,17,24,17,17,9,778,565,389,No
